Label,wkt_geom,name
zand,"MultiPolygon (((64363.63613660095870728 437524.67651531309820712, 64390.98405485552939354 437538.89743280544644222, 64413.95630618937138934 437532.88089078944176435, 64410.67455599882669048 437523.03564021782949567, 64378.95097082352003781 437513.73734801128739491, 64363.63613660095870728 437524.67651531309820712)))",20190514_110143_SV1-03_50cm_RD_11bit_RGBI_Rockanje_Voornes Duin_diss_sing_wgs84_cropped_ndvi_height
zand,"MultiPolygon (((64238.38267099501535995 437462.32326169265434146, 64248.22792156665673247 437474.90330408973386511, 64281.04542347214737674 437465.05805351806338876, 64298.54809115506941453 437473.26242899446515366, 64299.64200788525340613 437465.60501188319176435, 64242.2113795506520546 437439.35101035877596587, 64238.38267099501535995 437462.32326169265434146)))",20190514_110143_SV1-03_50cm_RD_11bit_RGBI_Rockanje_Voornes Duin_diss_sing_wgs84_cropped_ndvi_height
zand,"MultiPolygon (((65620.27298039862944279 427777.6049702005693689, 65629.57127260517154355 427766.1188445336301811, 65635.86129380372585729 427768.30667799402726814, 65623.55473058916686568 427781.16019957367097959, 65620.27298039862944279 427777.6049702005693689)))",20190514_110143_SV1-03_50cm_RD_11bit_RGBI_Rockanje_Voornes Duin_diss_sing_wgs84_cropped_ndvi_height
zand,"MultiPolygon (((65422.00057305296650156 427981.62044037971645594, 65432.66626117224950576 427970.68127307784743607, 65447.43413702971884049 427975.05693999858340248, 65443.87890765662450576 427982.44087792735081166, 65432.66626117224950576 427989.27785749098984525, 65422.00057305296650156 427981.62044037971645594)))",20190514_110143_SV1-03_50cm_RD_11bit_RGBI_Rockanje_Voornes Duin_diss_sing_wgs84_cropped_ndvi_height
zand,"MultiPolygon (((65326.00937997940491186 428109.60869781114161015, 65329.83808853504888248 428096.4816970489337109, 65338.31594319396390347 428097.02865541400387883, 65335.03419300341920462 428104.95955170784145594, 65326.00937997940491186 428109.60869781114161015)))",20190514_110143_SV1-03_50cm_RD_11bit_RGBI_Rockanje_Voornes Duin_diss_sing_wgs84_cropped_ndvi_height
zand,"MultiPolygon (((64858.63345700873469468 428724.66337935655610636, 64856.44562354837398743 428715.36508714995579794, 64858.63345700873469468 428710.71594104671385139, 64863.28260311201302102 428713.72421205468708649, 64862.18868638182902941 428727.39817118196515366, 64858.63345700873469468 428724.66337935655610636)))",20190514_110143_SV1-03_50cm_RD_11bit_RGBI_Rockanje_Voornes Duin_diss_sing_wgs84_cropped_ndvi_height
zand,"MultiPolygon (((62704.02771732222754508 432381.62700835760915652, 62708.12990506041387562 432378.07177898450754583, 62711.68513443350821035 432385.455716913274955, 62711.41165525096585043 432386.82311282597947866, 62707.8564258778715157 432384.90875854820478708, 62707.30946751277951989 432383.54136263544205576, 62704.02771732222754508 432381.62700835760915652)))",20190514_110143_SV1-03_50cm_RD_11bit_RGBI_Rockanje_Voornes Duin_diss_sing_wgs84_cropped_ndvi_height
zand,"MultiPolygon (((62444.49597308634110959 433498.78946905687917024, 62457.62297384853445692 433496.6016355964820832, 62456.52905711835046532 433489.49117685033706948, 62446.136848181617097 433486.75638502486981452, 62437.93247270524443593 433487.30334338993998244, 62447.2307649118010886 433493.31988540594466031, 62444.49597308634110959 433498.78946905687917024)))",20190514_110143_SV1-03_50cm_RD_11bit_RGBI_Rockanje_Voornes Duin_diss_sing_wgs84_cropped_ndvi_height
zand,"MultiPolygon (((61901.36631655052042333 433678.19181280682096258, 61903.55415001088840654 433650.84389455226482823, 61924.33856788436241914 433618.02639264677418396, 61953.8743195993010886 433588.49064093182096258, 61975.7526542029590928 433601.61764169402886182, 61980.12832112368778326 433634.4351435995195061, 61948.40473594838840654 433650.84389455226482823, 61913.39940058252977906 433693.5066470293677412, 61901.36631655052042333 433678.19181280682096258)))",20190514_110143_SV1-03_50cm_RD_11bit_RGBI_Rockanje_Voornes Duin_diss_sing_wgs84_cropped_ndvi_height
zand,"MultiPolygon (((61694.61605454594246112 434069.81400221231160685, 61765.72064200783643173 434062.15658510103821754, 61758.06322489655576646 434027.15124973520869389, 61730.7153066419850802 433986.67633071844466031, 61758.06322489655576646 433944.01357824128353968, 61733.99705683252977906 433904.63257595471804962, 61716.49438914960774127 433910.10215960559435189, 61696.80388800631044433 433999.80333148059435189, 61694.61605454594246112 434069.81400221231160685)))",20190514_110143_SV1-03_50cm_RD_11bit_RGBI_Rockanje_Voornes Duin_diss_sing_wgs84_cropped_ndvi_height
zand,"MultiPolygon (((61864.17314772427926073 434733.82145743339788169, 61852.140063692269905 434729.44579051266191527, 61849.405271866809926 434720.14749830606160685, 61858.15660570827458287 434715.22487302025547251, 61868.00185627992323134 434705.92658081371337175, 61866.90793954973923974 434692.79958005150547251, 61881.12885704211657867 434690.06478822603821754, 61876.20623175628861645 434720.69445667118998244, 61869.09577301009994699 434744.76062473520869389, 61864.17314772427926073 434733.82145743339788169)))",20190514_110143_SV1-03_50cm_RD_11bit_RGBI_Rockanje_Voornes Duin_diss_sing_wgs84_cropped_ndvi_height
zand,"MultiPolygon (((61992.16140515568258706 434889.70459148444933817, 61993.80228025095857447 434865.63842342043062672, 62008.0231977433359134 434861.80971486476482823, 62029.3545739819019218 434869.46713197603821754, 62029.3545739819019218 434894.08025840518530458, 62009.117114473519905 434889.15763311932096258, 61992.16140515568258706 434889.70459148444933817)))",20190514_110143_SV1-03_50cm_RD_11bit_RGBI_Rockanje_Voornes Duin_diss_sing_wgs84_cropped_ndvi_height
zand,"MultiPolygon (((64438.49006520668626763 437598.96687376982299611, 64450.59820989173022099 437615.91827632882632315, 64449.79100024606304942 437615.51467150601092726, 64450.19460506889299722 437615.51467150601092726, 64450.19460506889299722 437615.51467150601092726, 64449.38739542322582565 437614.70746186032192782, 64449.79100024606304942 437647.39945250994060189, 64466.74240280511730816 437666.77248400601092726, 64467.54961245078447973 437652.64631520683178678, 64478.04333784448681399 437651.83910556114278734, 64466.74240280511730816 437623.58676796272629872, 64445.35134719487541588 437593.31640625011641532, 64438.49006520668626763 437598.96687376982299611)))",20190514_110143_SV1-03_50cm_RD_11bit_RGBI_Rockanje_Voornes Duin_diss_sing_wgs84_cropped_ndvi_height
water,"MultiPolygon (((64836.20816403999197064 429239.62468009017175063, 64865.74391575493064011 429259.31518123345449567, 64879.41787488221598323 429271.34826526546385139, 64885.9813752633126569 429247.82905556651530787, 64884.88745853312866529 429218.84026221669046208, 64872.30741613602731377 429180.00621829519513994, 64871.76045777093531797 429152.6583000406390056, 64878.87091651712398743 429095.77463007112964988, 64885.4344168982206611 429066.2388783561764285, 64890.35704218404134735 429051.47100249869981781, 64869.57262431056733476 429052.56491922889836133, 64853.71083172291400842 429084.83546276926063001, 64852.06995662764529698 429135.70259072276530787, 64844.95949788145662751 429172.89575954899191856, 64822.53420491270662751 429195.32105251774191856, 64836.20816403999197064 429239.62468009017175063)))",20190514_110143_SV1-03_50cm_RD_11bit_RGBI_Rockanje_Voornes Duin_diss_sing_wgs84_cropped_ndvi_height
water,"MultiPolygon (((64339.56996853695454774 429445.82798372959950939, 64352.69696929914789507 429455.67323430126998574, 64380.04488755372585729 429458.95498449180740863, 64372.38747044244519202 429404.25914798269513994, 64366.917886791525234 429371.44164607720449567, 64354.88480275951587828 429367.06597915646852925, 64339.56996853695454774 429445.82798372959950939)))",20190514_110143_SV1-03_50cm_RD_11bit_RGBI_Rockanje_Voornes Duin_diss_sing_wgs84_cropped_ndvi_height
water,"MultiPolygon (((64686.34157200494519202 429694.1470814811764285, 64725.722574291525234 429723.68283319607144222, 64737.75565832354186568 429771.81516932410886511, 64807.76632905524456874 429764.1577522128354758, 64791.35757810250652255 429687.58358110004337505, 64772.76099368939321721 429590.22499211376998574, 64743.22524197445454774 429592.41282557410886511, 64686.34157200494519202 429694.1470814811764285)))",20190514_110143_SV1-03_50cm_RD_11bit_RGBI_Rockanje_Voornes Duin_diss_sing_wgs84_cropped_ndvi_height
water,"MultiPolygon (((64618.51873473360319622 429934.80876212136354297, 64611.95523435250652255 429905.27301040646852925, 64675.40240470311255194 429877.92509215185418725, 64739.94349178390984889 429830.88667275401530787, 64797.92107848360319622 429866.98592485004337505, 64788.07582791195454774 429898.7095100253354758, 64725.722574291525234 429938.09051231195917353, 64618.51873473360319622 429934.80876212136354297)))",20190514_110143_SV1-03_50cm_RD_11bit_RGBI_Rockanje_Voornes Duin_diss_sing_wgs84_cropped_ndvi_height
water,"MultiPolygon (((64502.56356133421650156 429907.46084386669099331, 64492.71831076256785309 429881.20684234233340248, 64499.28181114366452675 429848.38934043684275821, 64512.40881190585787408 429864.79809138958808035, 64526.62972939824248897 429892.14600964414421469, 64531.00539631897117943 429908.55476059688953683, 64502.56356133421650156 429907.46084386669099331)))",20190514_110143_SV1-03_50cm_RD_11bit_RGBI_Rockanje_Voornes Duin_diss_sing_wgs84_cropped_ndvi_height
water,"MultiPolygon (((63578.75088269472325919 431554.89943952212342992, 63576.56304923435527598 431549.97681423631729558, 63589.14309163145662751 431541.22548039484536275, 63593.51875855219259392 431552.16464769671438262, 63578.75088269472325919 431554.89943952212342992)))",20190514_110143_SV1-03_50cm_RD_11bit_RGBI_Rockanje_Voornes Duin_diss_sing_wgs84_cropped_ndvi_height
water,"MultiPolygon (((63491.23754428008396644 431514.42452050535939634, 63491.78450264517596224 431507.31406175921438262, 63503.27062831210059812 431511.14277031482197344, 63513.11587888374197064 431517.70627069589681923, 63498.89496139136463171 431520.4410625213640742, 63491.23754428008396644 431514.42452050535939634)))",20190514_110143_SV1-03_50cm_RD_11bit_RGBI_Rockanje_Voornes Duin_diss_sing_wgs84_cropped_ndvi_height
