,r,g,b,i,ndvi,height,label,date
0,561,596,608,766,84,1,Zand,20190302 105726
1,612,683,737,964,77,1,Zand,20190302 105726
2,526,494,417,593,94,159,Struweel,20190302 105726
3,629,712,788,1065,74,1,Zand,20190302 105726
4,422,352,249,263,123,1,Pad,20190302 105726
5,574,576,515,652,93,0,Water,20190302 105726
6,486,475,408,472,101,1,Zand,20190302 105726
7,441,383,276,328,114,90,Struweel,20190302 105726
8,511,474,382,434,108,1,Laag gras,20190302 105726
9,419,361,255,297,117,201,Bos,20190302 105726
10,450,409,317,438,101,103,Struweel,20190302 105726
11,458,424,357,532,92,37,Hoog Gras,20190302 105726
12,458,419,332,411,105,43,Hoog Gras,20190302 105726
13,443,400,308,371,108,1,Laag gras,20190302 105726
14,595,632,634,800,85,1,Zand,20190302 105829
15,589,648,669,858,81,1,Zand,20190302 105829
16,482,454,392,607,88,159,Struweel,20190302 105829
17,610,676,725,944,78,1,Zand,20190302 105829
18,645,661,615,781,90,1,Pad,20190302 105829
19,455,413,342,482,97,0,Water,20190302 105829
20,542,569,561,700,87,1,Zand,20190302 105829
21,485,448,372,506,97,90,Struweel,20190302 105829
22,640,658,610,782,90,1,Laag gras,20190302 105829
23,655,680,634,800,90,201,Bos,20190302 105829
24,669,686,624,745,94,103,Struweel,20190302 105829
25,888,973,953,1167,86,37,Hoog Gras,20190302 105829
26,657,674,623,765,92,43,Hoog Gras,20190302 105829
27,641,659,606,738,92,1,Laag gras,20190302 105829
28,521,545,529,654,88,1,Zand,20190308 111644
29,544,595,612,779,82,1,Zand,20190308 111644
30,428,409,337,526,89,159,Struweel,20190308 111644
31,555,618,648,825,80,1,Zand,20190308 111644
32,494,478,420,569,92,1,Pad,20190308 111644
33,409,369,297,433,97,0,Water,20190308 111644
34,512,546,541,686,85,1,Zand,20190308 111644
35,394,350,260,360,104,90,Struweel,20190308 111644
36,396,354,272,413,97,1,Laag gras,20190308 111644
37,392,348,262,444,93,201,Bos,20190308 111644
38,377,331,238,321,108,103,Struweel,20190308 111644
39,416,385,326,473,93,37,Hoog Gras,20190308 111644
40,429,389,311,397,103,43,Hoog Gras,20190308 111644
41,421,381,300,379,105,1,Laag gras,20190308 111644
42,550,623,687,899,75,1,Zand,20190422 111335
43,553,637,716,957,73,1,Zand,20190422 111335
44,377,363,285,915,58,159,Struweel,20190422 111335
45,553,631,711,941,74,1,Zand,20190422 111335
46,473,514,504,969,65,1,Pad,20190422 111335
47,404,382,352,678,74,0,Water,20190422 111335
48,507,573,623,846,74,1,Zand,20190422 111335
49,370,343,263,729,67,90,Struweel,20190422 111335
50,386,368,315,610,77,1,Laag gras,20190422 111335
51,372,351,280,799,63,201,Bos,20190422 111335
52,354,333,244,704,66,103,Struweel,20190422 111335
53,388,371,323,668,73,37,Hoog Gras,20190422 111335
54,395,377,331,591,80,43,Hoog Gras,20190422 111335
55,384,358,300,417,95,1,Laag gras,20190422 111335
